"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"As a user of Aquera SecureHome
  I want to create and save a new configuration
  So that I can manage endpoint settings efficiently","23134","User creates a new saved configuration","","2026-04-16","passed","2026-04-16","","","",""
"As a user of Aquera SecureHome
  I want to manage saved configurations and access the overview dashboard
  So that I can manage endpoint settings and view system operational status","54917","User creates a new saved configuration and opens Agents from overview","","2026-04-16","failed","2026-04-16","","","",""
